"","JOIN_NUMBER","assets","years","highest_degree"
"227",3185,4642229,17,"Master's"
"228",3211,37247656,22,"Bachelor's"
"229",3226,34734272,2,"Master's"
"230",3228,480969111,16,"Bachelor's"
"231",3258,24206551,5,"Bachelor's"
"232",3269,1421683,40,"Bachelor's"
"233",3317,281959,2,"Bachelor's"
"234",3329,347770880,10,"Bachelor's"
"235",3341,106818053,5,"Master's"
"236",3357,28272725,21,"Bachelor's"
"237",3368,786973406,15,"Master's"
"238",3387,18080447,13,"Bachelor's"
"239",3424,917620321,10,"Bachelor's"
"240",3450,10910157,26,"Doctorate's"
"241",3474,207616359,22,"Bachelor's"
"242",3490,406769339,15,"Bachelor's"
"243",3499,941579976,29,"Bachelor's"
"244",3511,656905120,28,"Bachelor's"
"245",3531,89788387,17,"Bachelor's"
"246",3536,76784950,11,"Bachelor's"
"247",3539,24176624,24,"Bachelor's"
"248",3552,77175746,9,"Bachelor's"
"249",3553,413000566,16,"Master's"
"250",3577,134565214,2,"Bachelor's"
"251",3596,361801434,14,"Master's"
"252",3634,50729661,14,"Bachelor's"
"253",3637,150883415,10,"Master's"
"254",3647,973489596,14,"Bachelor's"
"255",3664,117441479,1,"Bachelor's"
"256",3720,80776086,8,"Bachelor's"
"257",3731,131796344,10,"Master's"
"258",3757,657620746,19,"Bachelor's"
"259",3765,65285930,15,"Bachelor's"
"260",3774,15980212,32,"Bachelor's"
"261",3785,1744168,20,"Bachelor's"
"262",3797,290067034,16,"Master's"
"263",3815,786101005,13,"Doctorate's"
"264",3832,349759385,18,"Master's"
"265",3842,118880734,7,"Bachelor's"
"266",3852,93211540,20,"Master's"
"267",3877,229828820,5,"Master's"
"268",3882,82134727,1,"Master's"
"269",3895,197524952,38,"Bachelor's"
"270",3910,80162637,39,"Master's"
"271",3924,128475415,20,"Bachelor's"
"272",3980,504669462,20,"Bachelor's"
"273",4041,50166526,1,"Bachelor's"
"274",4071,545865676,4,"Bachelor's"
"275",4073,681433937,35,"Master's"
"276",4089,257424555,14,"Bachelor's"
"277",4107,147277044,30,"Bachelor's"
"278",4144,612350836,23,"Master's"
"279",4160,335016755,9,"Master's"
"280",4181,26579255,39,"Master's"
"281",4206,146405089,23,"Bachelor's"
"282",4214,331554539,17,"Master's"
"283",4239,136326324,19,"Master's"
"284",4275,720523244,31,"Master's"
"285",4319,17554475,43,"Associate's"
"286",4320,111625407,37,"Master's"
"287",4322,57512851,30,"Master's"
"288",4332,530417303,11,"Master's"
"289",4360,87808732,19,"Master's"
"290",4361,152314437,32,"Bachelor's"
"291",4381,14076131,16,"Associate's"
"292",4400,43143503,6,"Master's"
"293",4401,40915186,16,"Bachelor's"
"294",4404,417247791,18,"Bachelor's"
"295",4409,235223960,3,"Bachelor's"
"296",4427,74483362,10,"Doctorate's"
"297",4456,717446188,36,"Master's"
"298",4463,73071857,29,"Bachelor's"
"299",4480,23762129,24,"Bachelor's"
"300",4516,595498350,32,"Bachelor's"
"301",4533,394358968,41,"Master's"
"302",4553,360160,10,"Bachelor's"
"303",4569,3050652,44,"Master's"
"304",4600,642124420,23,"Bachelor's"
"305",4602,673791993,33,"Master's"
"306",4621,21278030,22,"Doctorate's"
"307",4658,47496004,40,"Master's"
"308",4708,48373660,30,"Master's"
"309",4711,34475701,24,"Bachelor's"
"310",4729,16677407,25,"Bachelor's"
"311",4745,210264952,21,"Associate's"
"312",4776,315275018,19,"Bachelor's"
"313",4789,14223062,34,"Bachelor's"
"314",4810,922792332,19,"Master's"
"315",4813,61920573,33,"Bachelor's"
"316",4826,88461643,5,"Associate's"
"317",4904,330196612,19,"Bachelor's"
"318",4944,13205935,17,"Bachelor's"
"319",4946,311100445,11,"Bachelor's"
"320",4960,386043702,41,"Bachelor's"
"321",4967,155244803,14,"Bachelor's"
"322",5032,110318210,14,"Master's"
"323",5033,48464179,6,"Master's"
"324",5039,27248538,11,"Bachelor's"
"325",5047,218801610,16,"Bachelor's"
"326",5060,152532590,27,"Master's"
